sp_id	gq_type	stcotrbg	persons	latitude	longitude
450001000	C	172030306015	370	40.7130421	-89.2689522
450009566	P	172030306013	40	40.7229060	-89.2724662
450015617	P	172030306013	4	40.7410055	-89.2532275
450026868	N	172030306013	97	40.7291759	-89.2729948
450033907	N	172030302001	55	40.8980929	-89.0307712
450033908	N	172030303001	57	40.7948536	-89.2085405
450033909	N	172030304001	97	40.7921897	-89.3493236
450033910	N	172030307001	84	40.7407914	-89.0026070
450038520	N	172030306014	97	40.7193300	-89.2811905
450040765	N	172030307001	84	40.7341840	-89.0075740
