sp_id	sp_gq_id	age	sex
939748095	450033907	90	F
940568636	450033907	70	M
940568637	450033907	66	M
940568638	450033907	70	M
940568639	450033907	90	M
940568640	450033907	102	M
940568641	450033907	68	M
940568642	450033907	75	M
940568643	450033907	66	M
940568644	450033907	71	M
940568645	450033907	77	M
940568646	450033907	76	M
940339036	450033907	63	M
939748102	450033907	75	F
939748101	450033907	87	F
939748100	450033907	84	F
939748099	450033907	79	F
939748098	450033907	88	F
939748097	450033907	88	F
939748096	450033907	81	F
939748094	450033907	74	F
939748093	450033907	91	F
939748092	450033907	65	F
939748091	450033907	86	F
939748090	450033907	79	F
939748089	450033907	69	F
939748088	450033907	90	F
939748087	450033907	81	F
939748086	450033907	93	F
939748085	450033907	99	F
939748084	450033907	87	F
939748083	450033907	78	F
939748082	450033907	87	F
939748081	450033907	76	F
939748080	450033907	77	F
939748079	450033907	75	F
939748078	450033907	88	F
939748077	450033907	90	F
939748076	450033907	77	F
939748075	450033907	94	F
939748074	450033907	91	F
939748073	450033907	78	F
939748072	450033907	82	F
939748071	450033907	75	F
939748070	450033907	84	F
939748069	450033907	95	F
939748068	450033907	86	F
939748067	450033907	86	F
939748066	450033907	89	F
939748065	450033907	96	F
939748064	450033907	91	F
939748063	450033907	92	F
939748062	450033907	80	F
939748061	450033907	81	F
939748060	450033907	86	F
939747724	450033908	92	F
939747725	450033908	82	F
939747726	450033908	82	F
939747727	450033908	87	F
939747728	450033908	97	F
939747747	450033908	82	F
939747737	450033908	73	F
939747738	450033908	82	F
939747739	450033908	82	F
939747740	450033908	78	F
939747746	450033908	74	F
939747729	450033908	86	F
939747730	450033908	70	F
939747731	450033908	83	F
939747712	450033908	88	F
939365373	450033908	62	F
939365372	450033908	35	F
939747732	450033908	67	F
939365374	450033908	61	F
940568527	450033908	86	M
940568526	450033908	87	M
940568517	450033908	65	M
940568518	450033908	75	M
940568519	450033908	92	M
940568520	450033908	79	M
940568521	450033908	99	M
940568522	450033908	93	M
940568523	450033908	80	M
940568524	450033908	75	M
940568529	450033908	83	M
940568528	450033908	100	M
939747733	450033908	98	F
939747734	450033908	87	F
939747735	450033908	76	F
939747736	450033908	77	F
939747745	450033908	87	F
939747744	450033908	84	F
939747752	450033908	78	F
939747743	450033908	89	F
939747751	450033908	95	F
939747741	450033908	104	F
939747742	450033908	89	F
939747750	450033908	81	F
939747749	450033908	89	F
940568525	450033908	86	M
939747748	450033908	75	F
939747713	450033908	90	F
939747714	450033908	81	F
939747715	450033908	91	F
939747716	450033908	89	F
939747717	450033908	98	F
939747718	450033908	90	F
939747719	450033908	86	F
939747720	450033908	70	F
939747721	450033908	81	F
939747722	450033908	83	F
939747723	450033908	91	F
939747602	450033909	93	F
939747601	450033909	76	F
939747600	450033909	90	F
939747599	450033909	86	F
939747598	450033909	77	F
939747597	450033909	74	F
939747596	450033909	90	F
939747595	450033909	81	F
939747594	450033909	91	F
939747593	450033909	90	F
939747592	450033909	100	F
939747591	450033909	81	F
939747590	450033909	90	F
939747589	450033909	83	F
939747588	450033909	89	F
939747587	450033909	92	F
939747586	450033909	89	F
939747585	450033909	87	F
939747584	450033909	88	F
939747583	450033909	83	F
939747582	450033909	81	F
939747581	450033909	73	F
939747580	450033909	79	F
939747579	450033909	85	F
939747578	450033909	87	F
939747577	450033909	89	F
939747536	450033909	77	F
939747537	450033909	85	F
939747538	450033909	99	F
939747539	450033909	87	F
939747540	450033909	87	F
939747541	450033909	84	F
939747542	450033909	74	F
939747543	450033909	89	F
939747544	450033909	88	F
939747545	450033909	88	F
939747546	450033909	79	F
939747547	450033909	86	F
939747548	450033909	96	F
939747550	450033909	87	F
939747549	450033909	97	F
939747551	450033909	79	F
939747552	450033909	90	F
939747576	450033909	90	F
939747575	450033909	80	F
939747574	450033909	70	F
939747573	450033909	75	F
939747572	450033909	78	F
939747571	450033909	95	F
939747570	450033909	77	F
939747569	450033909	76	F
939747568	450033909	66	F
939747567	450033909	86	F
939747566	450033909	66	F
939747565	450033909	65	F
939747564	450033909	93	F
939747563	450033909	87	F
939747562	450033909	68	F
939747561	450033909	75	F
939747560	450033909	81	F
939747559	450033909	76	F
939747558	450033909	81	F
939747557	450033909	84	F
939747556	450033909	81	F
939747555	450033909	79	F
939747554	450033909	87	F
940568456	450033909	76	M
940568457	450033909	98	M
940568458	450033909	88	M
939747553	450033909	90	F
940568459	450033909	79	M
940568460	450033909	75	M
940568461	450033909	77	M
940568462	450033909	87	M
