sp_id	stcotrbg	hh_race	hh_income	latitude	longitude
72768386	172030301001	1	24960	40.9203489	-89.3007472
72768387	172030301001	1	31300	40.9195934	-89.3018660
72768388	172030301001	1	47500	40.9152642	-89.2846490
72768389	172030301001	1	22000	40.9153946	-89.2953679
72768390	172030301001	9	32000	40.9163422	-89.2877959
72768391	172030301001	1	22400	40.8732938	-89.3151503
72768392	172030301001	1	17100	40.9153668	-89.2853490
72768393	172030301001	1	26000	40.9161810	-89.2867644
72768394	172030301001	1	38160	40.8735964	-89.3148811
72768395	172030301001	1	121620	40.9162232	-89.2893348
72768396	172030301001	1	10000	40.9167422	-89.2871215
72768397	172030301001	1	46100	40.9162218	-89.2872046
72768398	172030301001	1	100700	40.9163034	-89.2877495
72768399	172030301001	1	52600	40.9162680	-89.2892089
72768400	172030301001	1	45000	40.9161611	-89.2872574
72768401	172030301001	1	14330	40.9165028	-89.2892729
72768402	172030301001	1	91000	40.8735884	-89.3147353
72768403	172030301001	1	30500	40.9166390	-89.2887672
72768404	172030301001	1	1000	40.9162686	-89.2893778
72768405	172030301001	1	34000	40.9162504	-89.2887610
72768406	172030301001	1	80000	40.8735769	-89.3157054
72768407	172030301001	1	22100	40.9162711	-89.2887973
72768408	172030301001	1	153500	40.8735826	-89.3147109
72768409	172030301001	1	19400	40.9148173	-89.2951770
72768410	172030301001	1	45700	40.9174233	-89.2962842
72768411	172030301001	1	54000	40.8723133	-89.3109464
72768412	172030301001	1	40800	40.8736087	-89.3145605
72768413	172030301001	1	9600	40.8727530	-89.3136195
72768414	172030301001	1	21700	40.8729305	-89.3144773
72768415	172030301001	1	64540	40.8717208	-89.3108040
72768416	172030301001	1	37070	40.8729943	-89.3137801
72768417	172030301001	1	8500	40.8736434	-89.3141564
72768418	172030301001	1	41000	40.9166650	-89.2970135
72768419	172030301001	1	34000	40.8718349	-89.3106888
72768420	172030301001	1	39700	40.8721965	-89.3109983
72768421	172030301001	1	26200	40.8721506	-89.3111231
72768422	172030301001	1	19200	40.9175050	-89.2970428
72768423	172030301001	1	38850	40.9169940	-89.2970014
72768424	172030301001	1	52500	40.9170289	-89.2973106
72768425	172030301001	1	29900	40.9153500	-89.2953864
72768426	172030301001	1	41500	40.9153665	-89.2913427
72768427	172030301001	1	101000	40.9154100	-89.2903547
72768428	172030301001	1	130000	40.9161175	-89.2907565
72768429	172030301001	1	19400	40.9160763	-89.2903094
72768430	172030301001	1	40000	40.9151056	-89.2906684
72768431	172030301001	1	63000	40.9160629	-89.2906132
72768432	172030301001	1	92100	40.9155244	-89.2911292
72768433	172030301001	1	27900	40.9174318	-89.2977896
72768434	172030301001	1	23040	40.9153260	-89.2905597
72768435	172030301001	1	75000	40.9148038	-89.2911406
72768436	172030301001	9	15700	40.9148966	-89.2909901
72768437	172030301001	1	46800	40.9171817	-89.2979004
72768438	172030301001	1	43520	40.9167634	-89.2978808
72768439	172030301001	1	0	40.9172465	-89.2981286
72768440	172030301001	1	44000	40.9129542	-89.2909054
72768441	172030301001	1	146000	40.8731454	-89.3162642
72768442	172030301001	1	12900	40.9186131	-89.2964254
72768443	172030301001	1	46000	40.9151793	-89.2918165
72768444	172030301001	1	16300	40.9230422	-89.2976939
72768445	172030301001	1	33300	40.9155856	-89.2953777
72768446	172030301001	1	180000	40.9230140	-89.2972120
72768447	172030301001	1	33290	40.9149589	-89.2925724
72768448	172030301001	1	52000	40.9229529	-89.2973397
72768449	172030301001	1	7510	40.9230618	-89.2979195
72768450	172030301001	1	106000	40.9200346	-89.2981001
72768451	172030301001	1	89200	40.9167404	-89.2864910
72768452	172030301001	1	27700	40.9148859	-89.2915986
72768453	172030301001	1	87000	40.9198047	-89.2964406
72768454	172030301001	1	46200	40.9200103	-89.2981659
72768455	172030301001	1	29700	40.9163817	-89.2861164
72768456	172030301001	1	26600	40.9195083	-89.2971885
72768457	172030301001	1	29000	40.8734916	-89.3168493
72768458	172030301001	1	68000	40.9158447	-89.2986673
72768459	172030301001	1	81240	40.9164229	-89.2921362
72768460	172030301001	1	25200	40.9184277	-89.2967300
72768461	172030301001	1	46800	40.9191642	-89.2970213
72768462	172030301001	1	22100	40.9158813	-89.2979639
72768463	172030301001	1	399000	40.9165166	-89.2916780
72768464	172030301001	1	50000	40.9163500	-89.2983367
72768465	172030301001	1	118000	40.8735042	-89.3167863
72768466	172030301001	1	111150	40.9165197	-89.2964208
72768467	172030301001	1	108000	40.9162241	-89.2973823
72768468	172030301001	1	27700	40.9160512	-89.2966986
72768469	172030301001	1	81500	40.9156900	-89.2974693
72768470	172030301001	1	23100	40.9152591	-89.2967105
72768471	172030301001	1	45750	40.9153242	-89.2966171
72768472	172030301001	1	8700	40.9134596	-89.2908140
72768473	172030301001	1	57750	40.9157736	-89.2980630
72768474	172030301001	1	160000	40.9203082	-89.2990328
72768475	172030301001	1	33300	40.9153976	-89.2883993
72768476	172030301001	1	38000	40.9153730	-89.2885322
72768477	172030301001	1	87900	40.9157670	-89.2886470
72768478	172030301001	1	2700	40.9164941	-89.2986707
72768479	172030301001	1	19100	40.9165794	-89.2989288
72768480	172030301001	1	160090	40.9161143	-89.2989445
72768481	172030301001	1	16100	40.9155871	-89.2983520
72768482	172030301001	1	51300	40.9184821	-89.2973499
72768483	172030301001	1	16200	40.9202948	-89.2991063
72768484	172030301001	1	45100	40.9195182	-89.2990764
72768485	172030301001	1	148000	40.9156579	-89.2979976
72768486	172030301001	1	50600	40.9190288	-89.2976472
72768487	172030301001	1	80800	40.9190007	-89.2976230
72768488	172030301001	1	34400	40.9140294	-89.2913201
72768489	172030301001	1	27300	40.9159330	-89.2873051
72768490	172030301001	1	26200	40.9159533	-89.2896189
72768491	172030301001	1	30500	40.9153737	-89.2902440
72768492	172030301001	1	77030	40.9157468	-89.2901752
72768493	172030301001	1	70000	40.9159434	-89.2867772
72768494	172030301001	1	39000	40.9167120	-89.2829091
72768495	172030301001	9	78100	40.9161759	-89.2824793
72768496	172030301001	1	26300	40.9136472	-89.2906011
72768497	172030301001	1	66800	40.9175146	-89.2964893
72768498	172030301001	1	24960	40.9151926	-89.2856581
72768499	172030301001	1	29900	40.9156248	-89.2861566
72768500	172030301001	1	42000	40.9202011	-89.2995049
72768501	172030301001	1	51000	40.9183801	-89.2967706
72768502	172030301001	1	38000	40.9202569	-89.2997103
72768503	172030301001	1	168000	40.9192681	-89.3004635
72768504	172030301001	1	31000	40.8557407	-89.2749031
72768505	172030301001	1	31000	40.9098586	-89.2760066
72768506	172030301001	1	19400	40.8325938	-89.3118885
72768507	172030301001	1	27400	40.8710373	-89.3127733
72768508	172030301001	1	95200	40.9147359	-89.3011487
72768509	172030301001	1	114500	40.9192562	-89.3007461
72768510	172030301001	1	21100	40.9147607	-89.3002790
72768511	172030301001	1	17190	40.9157202	-89.2994182
72768512	172030301001	1	59800	40.9150976	-89.2990278
