sp_id	sp_hh_id	age	sex	race	relate	school_id	work_id
164095713	72774602	46	M	1	0	X	506098602
164095717	72781786	7	M	1	2	450132407	X
164095719	72781786	46	M	1	0	X	506094785
164095729	72778291	7	M	1	2	450117870	X
164095731	72778291	46	M	1	0	X	506102717
164095732	72778723	7	M	1	2	450141197	X
164095733	72778723	48	F	1	1	X	506102923
164095734	72778723	46	M	1	0	X	506104043
164153415	72773829	15	F	1	2	450141198	X
164153417	72773829	60	F	1	1	X	506100457
164153418	72773829	13	F	1	2	450125489	X
164153419	72780473	15	F	1	2	450122219	X
164153420	72780473	62	M	1	0	X	X
164153421	72780473	60	F	1	1	X	506096534
164153423	72776540	15	F	1	2	450141198	X
164153424	72776540	62	M	1	0	X	X
164153425	72776540	60	F	1	1	X	506101990
164153433	72779352	60	F	1	1	X	506098370
164153434	72779352	13	F	1	2	450122221	X
164167015	72772651	31	M	1	0	X	506100198
164167028	72769362	3	F	1	2	450066968	X
164167029	72769362	30	F	1	1	X	X
164167048	72780655	31	M	1	0	X	505915636
164167050	72780655	30	F	1	1	X	X
164167057	72768673	31	M	1	0	X	506171010
164167058	72768673	3	F	1	2	450066968	X
164167063	72773032	31	M	1	0	X	506106524
164167065	72773032	30	F	1	1	X	X
164167066	72771336	31	M	1	0	X	506102984
164167067	72771336	3	F	1	2	450066968	X
164182241	72779217	5	F	1	2	450066968	X
164182243	72779217	42	M	1	0	X	506103111
164182245	72779217	40	F	1	1	X	X
164182247	72781103	5	F	1	2	450066968	X
164182248	72781103	11	M	1	2	450152507	X
164182250	72781103	16	F	1	2	450121290	X
164182252	72781103	13	M	1	2	450113253	X
164182265	72779477	5	F	1	2	450066968	X
164182266	72779477	11	M	1	2	450122221	X
164182267	72779477	42	M	1	0	X	506098016
164182274	72772689	16	F	1	2	450141198	X
164471468	72776252	51	M	1	1	X	506109712
164471469	72776252	17	M	1	2	450141198	X
164471470	72776252	14	M	1	2	450141197	X
164471471	72776252	50	F	1	0	X	505774957
164471501	72772809	17	M	1	2	450141198	X
164471502	72772809	14	M	1	2	450141197	X
164471503	72772809	50	F	1	0	X	506105157
164494900	72782477	37	M	1	0	X	506103221
164494903	72782477	4	F	1	2	450132407	X
164494916	72772620	37	M	1	0	X	506099439
164494917	72772620	12	F	1	2	450141197	X
164494923	72771572	4	F	1	2	450117870	X
164494925	72773188	12	F	1	2	450125489	X
164494926	72773188	42	F	1	1	X	506098841
164535734	72772179	4	F	1	2	450141197	X
164535741	72770244	33	M	1	1	X	506091765
164535742	72770244	27	F	1	0	X	506093428
164535744	72773795	33	M	1	1	X	506100140
164579874	72775893	2	F	1	2	X	X
164579877	72775197	22	F	1	0	X	506103221
164579878	72775197	2	F	1	2	X	X
164579883	72771479	22	F	1	0	X	506108748
164604758	72780440	66	F	1	1	X	506092344
164604759	72780440	74	M	1	0	X	X
164604777	72769380	74	M	1	0	X	X
164604786	72775140	66	F	1	1	X	506104356
164604787	72775140	74	M	1	0	X	X
164604799	72774422	74	M	1	0	X	X
164604802	72772766	66	F	1	1	X	506099896
164604803	72772766	74	M	1	0	X	X
164604807	72774346	74	M	1	0	X	X
164617943	72770800	65	M	1	0	X	506098510
164617944	72770800	37	M	1	2	X	506099404
164851133	72775137	72	F	1	0	X	X
164851135	72768836	72	F	1	0	X	X
164851136	72768836	41	M	1	2	X	506099437
164851139	72768403	72	F	1	0	X	X
164851140	72768403	41	M	1	2	X	506103316
165048108	72773022	56	F	1	0	X	X
165048109	72773022	30	F	1	2	X	506099475
165048133	72771868	30	F	1	2	X	506103866
165048134	72778486	60	M	1	1	X	X
165048135	72778486	56	F	1	0	X	X
165048137	72781072	60	M	1	1	X	X
165048138	72781072	56	F	1	0	X	X
165048139	72781072	30	F	1	2	X	506096373
165048140	72774286	60	M	1	1	X	X
165048142	72774286	30	F	1	2	X	506099149
165048150	72781155	56	F	1	0	X	X
165048163	72782201	30	F	1	2	X	506098041
165048173	72779410	60	M	1	1	X	X
165048174	72779410	56	F	1	0	X	X
165048185	72776141	60	M	1	1	X	X
165048186	72776141	56	F	1	0	X	X
165052785	72770128	60	F	1	1	X	506104901
165052786	72770128	55	M	1	0	X	506171010
165052789	72773518	60	F	1	1	X	506099014
165052790	72773518	55	M	1	0	X	506099551
165142700	72770328	43	M	1	1	X	506171010
165142705	72776607	43	F	1	0	X	505781245
165142706	72776607	17	M	1	2	450141198	X
165142707	72776398	14	M	1	2	450141198	X
165142710	72776398	17	M	1	2	450141198	X
165150009	72782358	77	F	1	0	X	X
165150015	72771858	77	F	1	0	X	X
165159594	72769633	53	F	1	1	X	506511486
165159595	72769633	52	M	1	0	X	506094556
165267633	72768954	55	M	1	1	X	506098144
165456267	72774864	49	F	1	1	X	506166444
165456269	72774621	49	F	1	1	X	506109797
165456270	72774621	50	M	1	0	X	506109075
165456271	72775118	49	F	1	1	X	506113710
165456272	72775118	50	M	1	0	X	506102064
165456285	72775969	49	F	1	1	X	506102712
165456286	72775969	50	M	1	0	X	506103627
165456301	72769056	49	F	1	1	X	506098451
165456302	72769056	50	M	1	0	X	506106390
165456303	72770661	49	F	1	1	X	506098047
