sp_id	latitude	longitude
506104699	40.7462225	-89.5867448
505915404	39.3119416	-87.9874024
506101391	40.5988525	-89.4761348
506107011	40.7882244	-89.6062948
506106799	40.7786924	-89.5994048
506103947	40.6819575	-89.5886438
506098292	40.7961334	-89.1964739
506107419	40.6999925	-89.6057248
506098390	40.6384724	-89.1478249
506092372	40.4966325	-88.9509830
506096822	40.7355624	-89.0128550
506100892	40.8380304	-89.4666508
506109757	40.7899524	-89.6252248
506090152	40.3894855	-88.8704630
506112088	40.7700715	-89.6534248
506091765	40.5323695	-88.9246680
506093131	40.4754105	-88.9698450
509724468	44.8336240	-93.1834323
506096079	40.4710395	-89.0064530
506168119	41.1115314	-89.3696278
506098838	40.8556024	-89.2483549
506098101	40.7210384	-89.2787209
506098355	40.3985735	-89.2482799
506109791	40.7939424	-89.6198448
506107561	40.7480325	-89.6072248
504903401	30.3796082	-81.4068088
506093978	40.4740405	-88.9820110
506105544	40.6938725	-89.5901648
506108424	40.7285725	-89.6123548
506090542	40.6668114	-88.8419580
506103042	40.8171634	-89.5663538
506173878	40.9874564	-88.7721670
506105197	40.6590725	-89.5941748
506168829	40.9185524	-89.2955149
506112530	40.6815025	-89.6484748
506106894	40.5555515	-89.6055348
506099188	40.8339624	-89.3364949
506090875	40.4891605	-88.9307590
506099819	40.7160524	-89.4123048
506103180	40.7437125	-89.5741218
506098821	40.7929924	-89.2048749
506104011	40.7105565	-89.5842658
506098153	40.6276665	-89.2782519
506099713	40.7051724	-89.3913549
506100663	40.6813825	-89.4303548
506103394	40.6827625	-89.5572248
506106076	40.7755954	-89.6026038
506100497	40.6126125	-89.4603448
506091886	40.4783585	-88.9542680
506098619	40.7117224	-89.2778249
506166451	40.9146665	-89.6103717
506099829	40.7013324	-89.4107748
506625713	41.6092626	-93.7478135
506098378	40.7162128	-89.2701709
506097749	40.6658624	-89.0446150
506105854	40.6556405	-89.5990488
506098570	40.7144424	-89.2755349
506097646	40.4065555	-89.0182130
506101997	40.7475494	-89.5249898
506095560	40.5111115	-88.9949390
506162587	40.9311625	-90.3779545
506103637	40.7069825	-89.5663548
505781285	38.1918989	-89.5941940
506097631	40.7061854	-89.1174979
506103155	40.7697584	-89.5722558
506168691	40.9183364	-89.2911319
506099295	40.5386525	-89.3238549
506090965	40.5095525	-88.9320880
506166036	40.9238894	-89.6103508
506096904	40.4915775	-89.0227630
506098033	40.7566284	-89.2228219
506097577	40.5023725	-89.0213020
